package	source	bytes	note
@ungap/structured-clone@1.3.3	ok:npmmirror	7536	
@xmldom/xmldom@0.9.10	ok:npmmirror	102996	
abbrev@1.1.1	ok:npmmirror	2301	
abbrev@2.0.0	ok:npmmirror	2365	
aggregate-error@3.1.0	ok:npmmirror	2651	
aproba@2.1.0	ok:npmmirror	3558	
are-we-there-yet@2.0.0	ok:npmmirror	4841	
assistant-cloud@0.1.37	ok:npmmirror	42196	
assistant-stream@0.3.31	ok:npmmirror	217419	
babel-plugin-react-compiler@1.0.0	ok:npmmirror	675115	
baseline-browser-mapping@2.11.25	ok:npmmirror	41665	
bippy@0.5.43	ok:npmmirror	90679	
blobatar@2.0.0	ok:npmmirror	106138	
browserslist@4.29.0	ok:npmmirror	18707	
cacache@18.0.4	ok:npmmirror	19408	
caniuse-lite@1.0.30001810	ok:npmmirror	323010	
clean-stack@2.2.0	ok:npmmirror	2464	
cli-boxes@4.0.1	ok:npmmirror	2402	
cli-truncate@6.1.1	ok:npmmirror	4226	
color-support@1.1.3	ok:npmmirror	3642	
colord@2.10.0	ok:npmmirror	36921	
console-control-strings@1.1.0	ok:npmmirror	3335	
cookie-es@3.1.1	ok:npmmirror	8855	
crelt@1.0.7	ok:npmmirror	2385	
delegates@1.0.0	ok:npmmirror	2848	
dompurify@3.4.13	ok:npmmirror	368161	
driver.js@1.8.0	ok:npmmirror	29425	
eastasianwidth@0.2.0	ok:npmmirror	2893	
electron-to-chromium@1.5.433	ok:npmmirror	35400	
emoji-regex@9.2.2	ok:npmmirror	11118	
emojibase-data@16.0.3	ok:npmmirror	6487905	
emojibase@17.0.0	ok:npmmirror	27203	
empathic@2.0.1	ok:npmmirror	5305	
encoding@0.1.13	ok:npmmirror	3040	
enhanced-resolve@5.24.2	ok:npmmirror	95332	
eslint-plugin-perfectionist@5.10.0	ok:npmmirror	166827	
eslint-scope@9.1.2	ok:npmmirror	36931	
eslint@10.8.0	ok:npmmirror	620706	
espree@11.2.0	ok:npmmirror	24865	
foreground-child@3.3.1	ok:npmmirror	12526	
framer-motion@12.42.2	ok:npmmirror	1244234	
frimousse@0.3.0	ok:npmmirror	67336	
fs-extra@11.3.6	ok:npmmirror	16186	
fs-extra@11.3.6	ok:npmmirror	16186	
fs-minipass@3.0.3	ok:npmmirror	4516	
fsevents@2.3.2	ok:npmmirror	22066	
fsevents@2.3.3	ok:npmmirror	22808	
fsevents@2.3.3	ok:npmmirror	22808	
